timestamp,location,location_scope,area_value,area_unit,area_m2_converted,frontage,frontage_m,street_type,street_width_m,is_organized,type,has_water,has_electricity,has_swer,political_zone,distance_from_center,distance_from_center_unit,distance_from_center_unknown,proximity_main_road_distance,proximity_main_road_unit,proximity_main_road_unknown,proximity_services_mosque,proximity_services_mosque_near_far,proximity_services_school,proximity_services_school_type,proximity_services_school_near_far,proximity_services_hospital,proximity_services_hospital_type,proximity_services_hospital_near_far,terrain,earth_direction,ownership_registry,type_of_land,shape_of_land,number_of_facades,soil_type,price_estimated_JOD
2025-10-21T20:37:28.072071,Ramallah,داخل مدينة,2.0,donum,2000.0,نعم,20.0,ترابي,6.0,True,سكن ج,True,True,True,A,2.0,km,False,0.9999999999999999,km,False,True,near,True,public,near,True,clinic,near,منحدر,جنوب,طابو,ملك,مستطيلة,1,صخري,56539.723399999995
2025-10-21T20:41:49.604853,Nablus,داخل مدينة,2.0,donum,2000.0,نعم,20.0,ترابي,6.0,True,سكن أ,True,True,True,A,2.0,km,False,20.0,km,False,True,near,True,public,near,True,clinic,near,منحدر,شرق,طابو,ملك,شبه مربعة,1,طمي,47890.182600000015
2025-10-21T20:45:26.069938,Ramallah,داخل مدينة,2.0,donum,2000.0,نعم,20.0,ترابي,6.0,True,سكن أ,True,True,True,A,1.0,km,False,2.0,km,False,True,near,True,public,near,True,clinic,far,سهل,شمال,طابو,ملك,مربعة,1,صخري,48023.028549999995
2025-10-21T20:49:33.354340,Ramallah,داخل مدينة,2.0,donum,2000.0,نعم,20.0,ترابي,6.0,True,سكن أ,True,True,True,A,2.0,km,False,2.0,km,False,True,near,True,public,near,True,clinic,near,منحدر,شمال,طابو,ملك,مربعة,1,صخري,48094.69914999997
